arm,canonical_name,alias_group_members,numel,l2_ref,l2_final,delta_ref_final,rho,is_latent_q
ssra,emb.weight,,10485760,95.26088021335913,238.73488117077147,245.32482168550686,2.5752945084702583,False
ssra,layers.0.level_emb,,10240,0.830934593113042,9.847375163138112,9.636010666999432,11.596593458576264,False
ssra,layers.0.ln1.weight,,640,24.926641403177502,17.179976655877496,8.29702185029853,0.3328575926494804,False
ssra,layers.0.ln1.bias,,640,0.20769761066981796,3.1453027397106132,3.1815913812069088,15.318382194895653,False
ssra,layers.0.ln2.weight,,640,25.556741167276343,14.214969137300839,11.548565504291192,0.4518794250292889,False
ssra,layers.0.ln2.bias,,640,0.1195951513115516,3.7498515014979357,3.6683211751153753,30.672825234855946,False
ssra,layers.0.ln_node.weight,,640,24.440662994614353,15.145077738106668,9.742088626348002,0.39860165121112834,False
ssra,layers.0.ln_node.bias,,640,0.19063322740852626,1.4571470710453465,1.4012685158731268,7.350599551410909,False
ssra,layers.0.attn.w_q.weight,layers.0.attn.w_q.weight;layers.0.pool.attn.w_q.weight;layers.0.readout_attn.w_q.weight,409600,15.958220546244824,48.44077413616301,45.23739760584746,2.834739467019862,False
ssra,layers.0.attn.w_k.weight,layers.0.attn.w_k.weight;layers.0.pool.attn.w_k.weight;layers.0.readout_attn.w_k.weight,409600,15.791683048515253,47.96228820794891,44.980635291350985,2.8483750055748556,False
ssra,layers.0.attn.w_v.weight,layers.0.attn.w_v.weight;layers.0.pool.attn.w_v.weight;layers.0.readout_attn.w_v.weight,409600,15.103124978493675,40.82224018017691,35.166341399874355,2.328414910818126,False
ssra,layers.0.attn.w_o.weight,layers.0.attn.w_o.weight;layers.0.pool.attn.w_o.weight;layers.0.readout_attn.w_o.weight,409600,15.09307554699644,41.356378904327606,35.73899604888621,2.3679067886199214,False
ssra,layers.0.pool.latent_q,,10240,2.2169303679743697,11.370212650236894,11.001207957490175,4.962360620979758,True
ssra,layers.0.pool.ln_pool.weight,,640,24.683134567051873,14.914583959699803,10.120015056912758,0.4099971593729994,False
ssra,layers.0.pool.ln_pool.bias,,640,0.18863615916171808,2.408574021680493,2.349309367295973,12.45418363974378,False
ssra,layers.0.ffn.fc1.weight,,1638400,32.5685074565178,97.27200178735355,88.07220970881673,2.704213873675418,False
ssra,layers.0.ffn.fc1.bias,,2560,1.2206197906532603,3.813983694071214,3.3804483951322517,2.769452388874572,False
ssra,layers.0.ffn.fc2.weight,,1638400,19.369385953237742,83.05042917752674,79.70676292542329,4.115089818430702,False
ssra,layers.0.ffn.fc2.bias,,640,0.32493181611613936,1.8075215059492846,1.7140036322073235,5.274963999200043,False
ssra,layers.1.level_emb,,10240,2.836985607310595,14.05528294000321,12.598077992309117,4.440656293724324,False
ssra,layers.1.ln1.weight,,640,24.971030444441336,9.879008679744338,15.238560114872046,0.6102495509256894,False
ssra,layers.1.ln1.bias,,640,0.19679695133234532,1.5550244062616823,1.4739819184991163,7.48986154775282,False
ssra,layers.1.ln2.weight,,640,25.586601777176927,20.259991476545746,6.426210297407834,0.25115528640227514,False
ssra,layers.1.ln2.bias,,640,0.3012783281468944,3.5761981506375133,3.365725970658861,11.171483828129292,False
ssra,layers.1.ln_node.weight,,640,24.997847931220527,12.154170202543858,13.041640047754596,0.5217105121863919,False
ssra,layers.1.ln_node.bias,,640,0.3095548690284845,0.9865536649788453,0.9516146206365819,3.0741387580920803,False
ssra,layers.1.attn.w_q.weight,layers.1.attn.w_q.weight;layers.1.pool.attn.w_q.weight;layers.1.readout_attn.w_q.weight,409600,15.611407362763538,45.19078852219685,43.046365535917616,2.7573661064403567,False
ssra,layers.1.attn.w_k.weight,layers.1.attn.w_k.weight;layers.1.pool.attn.w_k.weight;layers.1.readout_attn.w_k.weight,409600,15.613393635820483,45.20807808843851,43.10298229809981,2.760641491751819,False
ssra,layers.1.attn.w_v.weight,layers.1.attn.w_v.weight;layers.1.pool.attn.w_v.weight;layers.1.readout_attn.w_v.weight,409600,15.746634757420795,34.24457229453421,30.81868097491358,1.9571598280953266,False
ssra,layers.1.attn.w_o.weight,layers.1.attn.w_o.weight;layers.1.pool.attn.w_o.weight;layers.1.readout_attn.w_o.weight,409600,15.85621797074175,35.95066550776702,32.77355913790767,2.0669215823333267,False
ssra,layers.1.pool.latent_q,,10240,2.6832466574318654,8.55100662053901,7.36943127798567,2.7464606198518293,True
ssra,layers.1.pool.ln_pool.weight,,640,24.920322746050903,13.995389851112467,11.107053555054579,0.44570263668895305,False
ssra,layers.1.pool.ln_pool.bias,,640,0.4535328575473098,0.916230625330125,0.7907468264630827,1.7435270968886676,False
ssra,layers.1.ffn.fc1.weight,,1638400,32.7693730455606,107.16992843891121,98.37128656499695,3.0019276361567044,False
ssra,layers.1.ffn.fc1.bias,,2560,1.2438412854236196,1.9708843545310908,1.4358063305858881,1.1543324276271232,False
ssra,layers.1.ffn.fc2.weight,,1638400,19.180851583317196,91.7272959824298,89.55757244988098,4.669113467713545,False
ssra,layers.1.ffn.fc2.bias,,640,0.31362487169614794,1.3964492202011076,1.319049147684577,4.205818054387356,False
ssra,layers.2.level_emb,,10240,1.7435993588894754,10.567776913629997,9.943307519377342,5.702747863884501,False
ssra,layers.2.ln1.weight,,640,24.794846150422977,16.298836338459715,8.816156079508266,0.35556405657947066,False
ssra,layers.2.ln1.bias,,640,0.23417043906007715,1.8186661369331245,1.6544031547063551,7.06495303739817,False
ssra,layers.2.ln2.weight,,640,25.583093668812246,21.616410302997433,5.28746367524426,0.20667804072851767,False
ssra,layers.2.ln2.bias,,640,0.4129113803000683,3.4141651618004105,3.0877385495436522,7.477969116035869,False
ssra,layers.2.ln_node.weight,,640,25.1149280294543,9.049709725232766,16.315807369149038,0.6496457943265526,False
ssra,layers.2.ln_node.bias,,640,0.26671931911520486,1.2731834852118185,1.2688739401228075,4.757337954866101,False
ssra,layers.2.attn.w_q.weight,layers.2.attn.w_q.weight;layers.2.pool.attn.w_q.weight;layers.2.readout_attn.w_q.weight,409600,15.852645520362186,46.740952335008856,44.87253205467062,2.830602122341875,False
ssra,layers.2.attn.w_k.weight,layers.2.attn.w_k.weight;layers.2.pool.attn.w_k.weight;layers.2.readout_attn.w_k.weight,409600,15.803803732179478,45.95849042460314,44.0642831303528,2.788207438986966,False
ssra,layers.2.attn.w_v.weight,layers.2.attn.w_v.weight;layers.2.pool.attn.w_v.weight;layers.2.readout_attn.w_v.weight,409600,15.477570934768444,31.790756896871542,29.486030442696816,1.9050812667548565,False
ssra,layers.2.attn.w_o.weight,layers.2.attn.w_o.weight;layers.2.pool.attn.w_o.weight;layers.2.readout_attn.w_o.weight,409600,15.548910865013358,31.864111746642102,30.16193567959681,1.9398101861567842,False
ssra,layers.2.pool.latent_q,,10240,2.3700947519384075,8.4566610267158,7.745970241987055,3.2682112120842133,True
ssra,layers.2.pool.ln_pool.weight,,640,25.049460479835872,16.17029843837477,9.169887976262416,0.36607127661068484,False
ssra,layers.2.pool.ln_pool.bias,,640,0.30731949277122145,1.038408439925114,1.0399970973907484,3.3840908951550164,False
ssra,layers.2.ffn.fc1.weight,,1638400,32.8506934243308,107.50262906573536,98.51211158639445,2.998783322894233,False
ssra,layers.2.ffn.fc1.bias,,2560,1.315069437302149,2.0513193564637024,1.3899895641547921,1.0569704722256652,False
ssra,layers.2.ffn.fc2.weight,,1638400,18.948310457320993,94.0737107892232,91.4762142372934,4.827671282003407,False
ssra,layers.2.ffn.fc2.bias,,640,0.33092079307866346,1.4083509542471813,1.278212084360706,3.8625922308147653,False
ssra,layers.3.level_emb,,10240,1.9182479700931077,10.03304979896842,9.129301662146613,4.759187448379521,False
ssra,layers.3.ln1.weight,,640,24.961742855308163,13.665533801729282,11.475730235302015,0.4597327318778015,False
ssra,layers.3.ln1.bias,,640,0.24759278486542102,1.828871657394027,1.657170206622139,6.693128022785047,False
ssra,layers.3.ln2.weight,,640,25.650135366138933,21.33339658989415,5.164076219263454,0.20132744508165895,False
ssra,layers.3.ln2.bias,,640,0.5051502944434575,3.264692466846259,2.8516004613078545,5.645053546785649,False
ssra,layers.3.ln_node.weight,,640,25.093279750995762,15.338992578138395,9.985130900368343,0.3979205189378287,False
ssra,layers.3.ln_node.bias,,640,0.3102683603187819,2.0926409009637448,1.9796015580455837,6.380288199582011,False
ssra,layers.3.attn.w_q.weight,layers.3.attn.w_q.weight;layers.3.pool.attn.w_q.weight;layers.3.readout_attn.w_q.weight,409600,15.955149252880847,50.45472450677763,48.146612896712114,3.0176222192355113,False
ssra,layers.3.attn.w_k.weight,layers.3.attn.w_k.weight;layers.3.pool.attn.w_k.weight;layers.3.readout_attn.w_k.weight,409600,15.904849529288377,49.71640559052744,47.299367288946826,2.9738959304107997,False
ssra,layers.3.attn.w_v.weight,layers.3.attn.w_v.weight;layers.3.pool.attn.w_v.weight;layers.3.readout_attn.w_v.weight,409600,15.549001109206916,40.05836207711582,36.62597950225173,2.3555197690843728,False
ssra,layers.3.attn.w_o.weight,layers.3.attn.w_o.weight;layers.3.pool.attn.w_o.weight;layers.3.readout_attn.w_o.weight,409600,15.602083777663903,39.843245149366524,36.82035637261387,2.3599640213011965,False
ssra,layers.3.pool.latent_q,,10240,2.312722020697811,6.699557633293848,6.065913721702585,2.6228460089087293,True
ssra,layers.3.pool.ln_pool.weight,,640,24.997664680320177,19.822623554581046,5.399576641748265,0.21600324313491454,False
ssra,layers.3.pool.ln_pool.bias,,640,0.2981726676935176,1.7035748066227665,1.6201872270631228,5.433721472849627,False
ssra,layers.3.ffn.fc1.weight,,1638400,33.03729406736117,106.67963524161033,97.7040728309001,2.95738726760391,False
ssra,layers.3.ffn.fc1.bias,,2560,1.2900350870687924,2.0477799736760964,1.3890220459207898,1.0767319895747292,False
ssra,layers.3.ffn.fc2.weight,,1638400,19.045225431575535,96.6059584340642,94.0632372643724,4.938940607572054,False
ssra,layers.3.ffn.fc2.bias,,640,0.3232208264199831,1.1249480854693013,1.0216356653212035,3.1607977636741817,False
ssra,layers.4.level_emb,,10240,1.525134805355923,12.231289126601,11.682193848847284,7.65977788181222,False
ssra,layers.4.ln1.weight,,640,25.090372724877916,16.492046408500332,8.811274932621227,0.35118150811225546,False
ssra,layers.4.ln1.bias,,640,0.24940098605941857,1.866361460978284,1.7208162033165564,6.89979711189506,False
ssra,layers.4.ln2.weight,,640,25.722719823882585,20.278325253493215,5.889877734450011,0.22897569832337403,False
ssra,layers.4.ln2.bias,,640,0.5652775311788083,3.618596150915823,3.1628943342784064,5.595294629317084,False
ssra,layers.4.ln_node.weight,,640,25.012244581312864,15.28303990761406,9.902388053984488,0.395901616178132,False
ssra,layers.4.ln_node.bias,,640,0.23778343621537193,0.8548262854033646,0.8305040265931523,3.4926908274675816,False
ssra,layers.4.attn.w_q.weight,layers.4.attn.w_q.weight;layers.4.pool.attn.w_q.weight;layers.4.readout_attn.w_q.weight,409600,16.14808333158942,49.39777647918815,47.24922052979721,2.9259955847123176,False
ssra,layers.4.attn.w_k.weight,layers.4.attn.w_k.weight;layers.4.pool.attn.w_k.weight;layers.4.readout_attn.w_k.weight,409600,16.06453825349845,49.04779622946076,46.862781632047394,2.9171570880253506,False
ssra,layers.4.attn.w_v.weight,layers.4.attn.w_v.weight;layers.4.pool.attn.w_v.weight;layers.4.readout_attn.w_v.weight,409600,15.627457739053723,39.253716684945275,36.19632898680984,2.3162007276688117,False
ssra,layers.4.attn.w_o.weight,layers.4.attn.w_o.weight;layers.4.pool.attn.w_o.weight;layers.4.readout_attn.w_o.weight,409600,15.729593274196784,39.22682659021523,36.59833221229604,2.3267182802706574,False
ssra,layers.4.pool.latent_q,,10240,2.286284692597232,6.533316703465188,5.841733196948119,2.5551206356159772,True
ssra,layers.4.pool.ln_pool.weight,,640,24.97806078290431,15.400737308554849,9.697830330018654,0.3882539326934508,False
ssra,layers.4.pool.ln_pool.bias,,640,0.2766106741156741,0.9504882027036113,0.966803954698297,3.4951794893280055,False
ssra,layers.4.ffn.fc1.weight,,1638400,33.26563425519834,106.48092584499688,97.94607645213046,2.944362211786918,False
ssra,layers.4.ffn.fc1.bias,,2560,1.311125258212143,1.9565022691001972,1.2196638997862057,0.9302420894929181,False
ssra,layers.4.ffn.fc2.weight,,1638400,19.317379625886566,100.8371151221344,98.35033518193423,5.091287591104659,False
ssra,layers.4.ffn.fc2.bias,,640,0.3201368967280078,0.8352705052042952,0.7387458822100134,2.3075936880767003,False
ssra,layers.5.level_emb,,10240,1.1969689047433811,9.073350528956931,8.82992971914375,7.376908192144561,False
ssra,layers.5.ln1.weight,,640,25.378816086981267,22.850924751418784,3.2384379093369744,0.12760397877654414,False
ssra,layers.5.ln1.bias,,640,0.2585935372024815,1.6643770967712628,1.497803163344969,5.792113675958472,False
ssra,layers.5.ln2.weight,,640,25.782317039223646,22.101519410245007,4.231095222686471,0.1641084164875306,False
ssra,layers.5.ln2.bias,,640,0.6215068079311548,4.050310010460884,3.525454980870846,5.672431799429888,False
ssra,layers.5.ln_node.weight,,640,24.83797373703205,3.3158867724349532,22.00567798796758,0.8859691302096163,False
ssra,layers.5.ln_node.bias,,640,0.26876690472632614,0.8747585783684964,0.9092791012156913,3.383151292907776,False
ssra,layers.5.attn.w_q.weight,layers.5.attn.w_q.weight;layers.5.pool.attn.w_q.weight;layers.5.readout_attn.w_q.weight,409600,16.46737723161829,42.17059191817449,40.640785442375396,2.467957396660763,False
ssra,layers.5.attn.w_k.weight,layers.5.attn.w_k.weight;layers.5.pool.attn.w_k.weight;layers.5.readout_attn.w_k.weight,409600,16.342294215515604,41.67147219902121,40.025611495628816,2.4492039469971076,False
ssra,layers.5.attn.w_v.weight,layers.5.attn.w_v.weight;layers.5.pool.attn.w_v.weight;layers.5.readout_attn.w_v.weight,409600,15.80344850595033,39.853127739138294,37.315586271201624,2.361230604646291,False
ssra,layers.5.attn.w_o.weight,layers.5.attn.w_o.weight;layers.5.pool.attn.w_o.weight;layers.5.readout_attn.w_o.weight,409600,16.007851893009978,39.98340089105648,37.564245525319336,2.3466137603210973,False
ssra,layers.5.pool.latent_q,,10240,2.3598105902671014,4.93286936852213,4.244130809022133,1.7985048573503308,True
ssra,layers.5.pool.ln_pool.weight,,640,24.89090797009031,8.55326454482081,16.560813523124818,0.6653358544824803,False
ssra,layers.5.pool.ln_pool.bias,,640,0.32610778348430997,0.3212547553756044,0.4593248305481075,1.4085061866369315,False
ssra,layers.5.ffn.fc1.weight,,1638400,33.44542712912425,105.5685028059858,96.55846014569718,2.8870452086890577,False
ssra,layers.5.ffn.fc1.bias,,2560,1.3164990114741657,2.0336164957763097,1.276454141321239,0.9695823013888282,False
ssra,layers.5.ffn.fc2.weight,,1638400,19.465011087436604,104.20059042593495,101.25305276445748,5.201797846897181,False
ssra,layers.5.ffn.fc2.bias,,640,0.340099513597508,1.0050666359120277,0.8888141024378784,2.613394218169182,False
ssra,layers.6.level_emb,,10240,1.1973274974696175,12.356648750394996,12.090250450781753,10.097697143290192,False
ssra,layers.6.ln1.weight,,640,25.21059540069017,20.926188933996187,4.620708657094095,0.18328439228244478,False
ssra,layers.6.ln1.bias,,640,0.2647068867991941,1.7326356609219944,1.5550893174168912,5.874759573582903,False
ssra,layers.6.ln2.weight,,640,25.898122198945508,23.060750933074328,3.3542075496542023,0.1295154731253363,False
ssra,layers.6.ln2.bias,,640,0.6525218475984125,3.5324256017528874,2.9860709610788843,4.576200738824348,False
ssra,layers.6.ln_node.weight,,640,24.83644356613431,10.452444221688806,14.6464189622359,0.5897148246380572,False
ssra,layers.6.ln_node.bias,,640,0.2583125145857209,0.7790676111396658,0.7657992941272804,2.964623279501041,False
ssra,layers.6.attn.w_q.weight,layers.6.attn.w_q.weight;layers.6.pool.attn.w_q.weight;layers.6.readout_attn.w_q.weight,409600,16.408297717043986,41.75828472317458,40.73929477415876,2.482847122638514,False
ssra,layers.6.attn.w_k.weight,layers.6.attn.w_k.weight;layers.6.pool.attn.w_k.weight;layers.6.readout_attn.w_k.weight,409600,16.2351051634873,40.73351180285296,39.57978198044026,2.437913495593183,False
ssra,layers.6.attn.w_v.weight,layers.6.attn.w_v.weight;layers.6.pool.attn.w_v.weight;layers.6.readout_attn.w_v.weight,409600,15.612736747337289,37.40025963597829,35.16460113971399,2.252302188193317,False
ssra,layers.6.attn.w_o.weight,layers.6.attn.w_o.weight;layers.6.pool.attn.w_o.weight;layers.6.readout_attn.w_o.weight,409600,15.81661355804752,37.34375082403566,35.32660316578055,2.2335124415938146,False
ssra,layers.6.pool.latent_q,,10240,2.400426486403792,7.837049260176861,7.225946083714683,3.0102759341487944,True
ssra,layers.6.pool.ln_pool.weight,,640,24.918084713363946,16.584628934788697,8.645592205647766,0.3469605431195522,False
ssra,layers.6.pool.ln_pool.bias,,640,0.35656562653409335,0.7904722462026184,0.7603538030718399,2.1324371910513866,False
ssra,layers.6.ffn.fc1.weight,,1638400,33.68547571155024,105.21306669414066,96.25712715623928,2.8575261332359383,False
ssra,layers.6.ffn.fc1.bias,,2560,1.3256810108449364,2.2355941469451617,1.4764423006933265,1.1137236549479583,False
ssra,layers.6.ffn.fc2.weight,,1638400,19.720112239587753,105.12612557101147,101.97310213133098,5.171020372116438,False
ssra,layers.6.ffn.fc2.bias,,640,0.33248503139777424,1.1059417879607438,0.9980721378313714,3.0018558538874807,False
ssra,layers.7.level_emb,,10240,2.0497015841038904,9.955140684325746,9.045514006232002,4.413088264351717,False
ssra,layers.7.ln1.weight,,640,25.26171600856417,16.155761329143775,9.21025133226785,0.36459325760551703,False
ssra,layers.7.ln1.bias,,640,0.20506944417464756,1.4158930816283959,1.3472084379952547,6.569523038487897,False
ssra,layers.7.ln2.weight,,640,25.98441657338134,22.64957943938712,3.795097408365908,0.146052823531687,False
ssra,layers.7.ln2.bias,,640,0.6525878680775383,3.562796078179878,3.012875075867175,4.616811349470559,False
ssra,layers.7.ln_node.weight,,640,24.893194127489064,9.641787715267855,15.511426389963201,0.6231191670511355,False
ssra,layers.7.ln_node.bias,,640,0.35448460923009767,1.9621570936162154,1.8880906815902463,5.326298046312859,False
ssra,layers.7.attn.w_q.weight,layers.7.attn.w_q.weight;layers.7.pool.attn.w_q.weight;layers.7.readout_attn.w_q.weight,409600,16.38748561609782,47.350436294029365,45.52583012437367,2.778085130988768,False
ssra,layers.7.attn.w_k.weight,layers.7.attn.w_k.weight;layers.7.pool.attn.w_k.weight;layers.7.readout_attn.w_k.weight,409600,16.239850023252643,46.77324354743166,44.87852923922202,2.7634817547553556,False
ssra,layers.7.attn.w_v.weight,layers.7.attn.w_v.weight;layers.7.pool.attn.w_v.weight;layers.7.readout_attn.w_v.weight,409600,15.832871629048022,43.28681137147369,40.07532149604128,2.531146745516238,False
ssra,layers.7.attn.w_o.weight,layers.7.attn.w_o.weight;layers.7.pool.attn.w_o.weight;layers.7.readout_attn.w_o.weight,409600,16.063357856029768,42.96197777346625,39.914061508880835,2.4847894111938826,False
ssra,layers.7.pool.latent_q,,10240,2.3678256777626006,8.271192537992595,8.044720743422303,3.3975139381983133,True
ssra,layers.7.pool.ln_pool.weight,,640,24.822717425045948,17.141751250952133,7.929479641090829,0.3194444631227216,False
ssra,layers.7.pool.ln_pool.bias,,640,0.3202897113837927,1.9998263340649196,1.9708049237367449,6.153194603791671,False
ssra,layers.7.ffn.fc1.weight,,1638400,33.88460828216425,104.4698756564275,95.48610275749574,2.8179786516155922,False
