"model","n","depth","trial","key","generated","extracted","correct","category"
"flat","1024","0.1","0","38093"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","1","90788"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","2","50746"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","3","42342"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","4","59563"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","5","86518"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","6","46473"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","7","30321"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","8","16336"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","9","18109"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","10","29261"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","11","45222"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","12","42994"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","13","88290"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","14","41843"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","15","87241"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","16","77338"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","17","66441"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","18","74167"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","19","15795"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.5","0","47004"," 49004. The pass key is 49004.","49004","False","cat2"
"flat","1024","0.5","1","92540"," 92540. The pass key is 92540.","92540","True","cat1"
"flat","1024","0.5","2","16159"," 16159. Remember it. 16159 is the","16159","True","cat1"
"flat","1024","0.5","3","81754"," 81754. Remember it. 81754 is the","81754","True","cat1"
"flat","1024","0.5","4","33678"," 33678. Remember it. 33678 is the","33678","True","cat1"
"flat","1024","0.5","5","40790"," 40790. The pass key is 40790.","40790","True","cat1"
"flat","1024","0.5","6","49853"," 49853. The pass key is 49853.","49853","True","cat1"
"flat","1024","0.5","7","75983"," 75983. Remember it. 75983 is the","75983","True","cat1"
"flat","1024","0.5","8","86816"," 86816. Remember it. 86816 is the","86816","True","cat1"
"flat","1024","0.5","9","81441"," 81441. The pass key is 81441.","81441","True","cat1"
"flat","1024","0.5","10","92369"," 92369. The pass key is 92369.","92369","True","cat1"
"flat","1024","0.5","11","76613"," 76613. Remember it. 76613 is the","76613","True","cat1"
"flat","1024","0.5","12","10635"," 10635. The pass key is 10635.","10635","True","cat1"
"flat","1024","0.5","13","92047"," 92047. The pass key is 92047.","92047","True","cat1"
"flat","1024","0.5","14","23415"," 23415. Remember it. 23415 is the","23415","True","cat1"
"flat","1024","0.5","15","92714"," 92714. Remember it. 92714 is the","92714","True","cat1"
"flat","1024","0.5","16","30409"," 30409. The pass key is 30409.","30409","True","cat1"
"flat","1024","0.5","17","79322"," 79322. Remember it. 79322 is the","79322","True","cat1"
"flat","1024","0.5","18","18670"," 18670. The pass key is 18670. The pass","18670","True","cat1"
"flat","1024","0.5","19","26490"," 26490. The pass key is 26490.","26490","True","cat1"
"flat","1024","0.9","0","13479"," 13479. Remember it. 13479 is the","13479","True","cat1"
"flat","1024","0.9","1","85396"," 85396. Remember it. 85396 is the","85396","True","cat1"
"flat","1024","0.9","2","13424"," 13424. Remember it. 13424 is the","13424","True","cat1"
"flat","1024","0.9","3","76008"," 76008. Remember it. 76008 is the","76008","True","cat1"
"flat","1024","0.9","4","58288"," 59288. Remember it. 59288 is the","59288","False","cat2"
"flat","1024","0.9","5","83106"," 84106. Remember it. 85106 is the","84106","False","cat2"
"flat","1024","0.9","6","17731"," 17732. Remember it. 17732 is the","17732","False","cat2"
"flat","1024","0.9","7","58848"," 58848. Remember it. 58848 is the","58848","True","cat1"
"flat","1024","0.9","8","77347"," 77347. Remember it. 77347 is the","77347","True","cat1"
"flat","1024","0.9","9","93325"," 93325. Remember it. 93325 is the","93325","True","cat1"
"flat","1024","0.9","10","19030"," 19030. The pass key is 19030. The pass","19030","True","cat1"
"flat","1024","0.9","11","23568"," 23568. Remember it. 23568 is the","23568","True","cat1"
"flat","1024","0.9","12","87729"," 87729. Remember it. 87729 is the","87729","True","cat1"
"flat","1024","0.9","13","99751"," 99751. Remember it. 99751 is the","99751","True","cat1"
"flat","1024","0.9","14","45296"," 45296. Remember it. 45296 is the","45296","True","cat1"
"flat","1024","0.9","15","27447"," 27447. Remember it. 27447 is the","27447","True","cat1"
"flat","1024","0.9","16","11210"," 11210. Remember it. 11210 is the","11210","True","cat1"
"flat","1024","0.9","17","62063"," 62063. Remember it. 62063 is the","62063","True","cat1"
"flat","1024","0.9","18","97189"," 97189. Remember it. 97189 is the","97189","True","cat1"
"flat","1024","0.9","19","24199"," 24199. Remember it. 24199 is the pass key","24199","True","cat1"
"flat","2048","0.1","0","40606"," blue. The sky. The sky is blue. The sky","","False","cat3"
"flat","2048","0.1","1","13190"," blue. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","2","11782"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.1","3","39741"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","4","44770"," green. The sky is green. The sky. The sky","","False","cat3"
"flat","2048","0.1","5","49105"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","6","44579"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","7","39130"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","8","98676"," blue. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","9","16709"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","10","12278"," blue. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","11","24905"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","12","33920"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","13","70710"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","14","35929"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","15","38934"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","16","93010"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","17","27433"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.1","18","74416"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.1","19","98730"," green. The sky is green. The sky is blue.","","False","cat3"
"flat","2048","0.5","0","10880"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","1","19945"," blue. The sky. The sky is blue. The sky","","False","cat3"
"flat","2048","0.5","2","10818"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","3","14380"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","4","85135"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","5","95476"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","6","81344"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","7","94351"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","8","15545"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","9","74098"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","10","29041"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","11","50911"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","12","86584"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","13","14907"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","14","37953"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","15","46974"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","16","81903"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","17","82135"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","18","92757"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.5","19","72196"," green. The sky is green. The sky is green.","","False","cat3"
"flat","2048","0.9","0","84558"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","1","31860"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","2","89548"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","3","10355"," blue. The sky. The sky is blue. The sky","","False","cat3"
"flat","2048","0.9","4","61884"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","5","88284"," blue. Here we go. The sky is blue. The","","False","cat3"
"flat","2048","0.9","6","18755"," blue. The sky. The sky is blue. The sky","","False","cat3"
"flat","2048","0.9","7","71448"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","8","16053"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","9","94058"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","10","59241"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","11","14130"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","12","86402"," blue. Here we go. The sky is blue. The","","False","cat3"
"flat","2048","0.9","13","69599"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","14","52713"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","15","27643"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","16","77378"," green. The sky is green. The sky. The sky","","False","cat3"
"flat","2048","0.9","17","27810"," blue. The sky is blue. The sky. The sky","","False","cat3"
"flat","2048","0.9","18","62485"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","2048","0.9","19","26473"," blue. Here. The sky is blue. Here. The","","False","cat3"
"flat","4096","0.1","0","32177"," blue. Here. Here is blue. The sky is blue","","False","cat3"
"flat","4096","0.1","1","61029"," blue. Here. Here is blue. The sun. Here","","False","cat3"
"flat","4096","0.1","2","17390"," blue. Here. Here is blue. The sun. Here","","False","cat3"
"flat","4096","0.1","3","40999"," blue. Here. Here. Here is blue. Here.","","False","cat3"
"flat","4096","0.1","4","66081"," blue. Here. Here is blue. The sun. Here","","False","cat3"
"flat","4096","0.1","5","11309"," blue. Here. Here is blue. The sun. Here","","False","cat3"
"flat","4096","0.1","6","84056"," blue. Here. Here is blue. The sun. Here","","False","cat3"
"flat","4096","0.1","7","96812"," blue. Here. Here is blue. The sky. Here","","False","cat3"
"flat","4096","0.1","8","38030"," blue. Here. Here is blue. The sky is blue","","False","cat3"
"flat","4096","0.1","9","47349"," blue. Here. Here. Here is blue. Here.","","False","cat3"
"flat","4096","0.1","10","78262"," blue. The sun. Here is blue. There is blue","","False","cat3"
"flat","4096","0.1","11","60514"," blue. Here. Here is blue. The sky. Here","","False","cat3"
"flat","4096","0.1","12","31928"," blue. Here. Here is blue. The sky. Here","","False","cat3"
"flat","4096","0.1","13","71942"," blue. Here. Here is blue. The sun. Here","","False","cat3"
"flat","4096","0.1","14","26145"," blue. Here. Here is blue. The sky. Here","","False","cat3"
"flat","4096","0.1","15","14994"," blue. Here. Here is blue. The sky. Here","","False","cat3"
"flat","4096","0.1","16","98727"," blue. Here. Here is blue. The sky. Here","","False","cat3"
"flat","4096","0.1","17","96136"," blue. Here. Here is blue. The sky. Here","","False","cat3"
"flat","4096","0.1","18","36276"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.1","19","26063"," blue. Here. Here is blue. The sun. Here","","False","cat3"
"flat","4096","0.5","0","54523"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","1","33830"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","2","96234"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","3","89827"," blue. The sun. Here and the sky. Here.","","False","cat3"
"flat","4096","0.5","4","10779"," blue. The sun. Here and the sun. Here.","","False","cat3"
"flat","4096","0.5","5","18027"," blue. The sun. The sun. The sun. Here","","False","cat3"
"flat","4096","0.5","6","75133"," blue. The sun. The sun. The sun. Here","","False","cat3"
"flat","4096","0.5","7","53425"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","8","91905"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","9","79829"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","10","21068"," blue. The sun. Here and the sun. Here and","","False","cat3"
"flat","4096","0.5","11","21418"," blue. The sun. The sun. The sun. Here","","False","cat3"
"flat","4096","0.5","12","51439"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","13","99591"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","14","16954"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","15","54959"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","16","86593"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","17","99937"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.5","18","92082"," blue. The sun. The sun. The sun. Here","","False","cat3"
"flat","4096","0.5","19","56529"," blue. The sun. It is blue. It is blue","","False","cat3"
"flat","4096","0.9","0","11922"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","1","96071"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","2","39228"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","3","18269"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","4","25570"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","5","94706"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","6","69682"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","7","65843"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","8","89027"," blue. Here. Here and the sky. Here and back","","False","cat3"
"flat","4096","0.9","9","27952"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","10","19013"," blue. The sun. The sun. The sun. Here","","False","cat3"
"flat","4096","0.9","11","25304"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","12","51305"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","13","43056"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","14","48303"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","15","43426"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","16","77361"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","17","51924"," blue. The sun. Here and the sky. Here.","","False","cat3"
"flat","4096","0.9","18","34748"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","4096","0.9","19","25217"," blue. It is blue. It is blue. It is","","False","cat3"
"flat","8192","0.1","0","91636"," the sun.
The sun is the sun is the sun","","False","cat3"
"flat","8192","0.1","1","64481"," the sun.
The sun.
The sun is the","","False","cat3"
"flat","8192","0.1","2","84182"," the sun.
The sun is blue is the sun.","","False","cat3"
"flat","8192","0.1","3","83943"," the sun.
The sun.
The sun is the","","False","cat3"
"flat","8192","0.1","4","53786"," the sun. The sun.
The sun.
The","","False","cat3"
"flat","8192","0.1","5","93514"," the sun. The sun.
The sun is the sun","","False","cat3"
"flat","8192","0.1","6","72575"," the green is the green is the green is the green is","","False","cat3"
"flat","8192","0.1","7","91139"," the sun. It is the sun. It is the sun","","False","cat3"
"flat","8192","0.1","8","83568"," the green is the green is the green is the green is","","False","cat3"
"flat","8192","0.1","9","23097"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.1","10","31369"," the sun.
The sun is the sun is the sun","","False","cat3"
"flat","8192","0.1","11","10316"," the green is the green is the green is the green is","","False","cat3"
"flat","8192","0.1","12","32418"," the green is the green is the green is the green is","","False","cat3"
"flat","8192","0.1","13","17932"," the sun.
The sun.
The sun is the","","False","cat3"
"flat","8192","0.1","14","55262"," the sun.
The sun.
The sun is blue","","False","cat3"
"flat","8192","0.1","15","87726"," the sun. The sun.
The sun is the sun","","False","cat3"
"flat","8192","0.1","16","76287"," the sun.
The sun.
The sun is the","","False","cat3"
"flat","8192","0.1","17","69796"," the sun. The sun.
The sun.
The","","False","cat3"
"flat","8192","0.1","18","93225"," the sun.
The sun.
The sun is the","","False","cat3"
"flat","8192","0.1","19","29237"," the sun.
The sun.
The sun is the","","False","cat3"
"flat","8192","0.5","0","64131"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","1","43532"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","2","23062"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","3","89060"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","4","16854"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","5","90772"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","6","70909"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","7","79901"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","8","88567"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","9","86002"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","10","16669"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","11","22966"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","12","88618"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","13","12071"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","14","29692"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","15","59458"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","16","65823"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","17","36620"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","18","25735"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.5","19","33495"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.9","0","17532"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","1","65831"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","2","61341"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","3","65957"," the sun. The sun is the sun is the sun is","","False","cat3"
"flat","8192","0.9","4","78908"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","5","41112"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","6","61813"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","7","50850"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","8","13962"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","9","63508"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","10","53727"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","11","57656"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","12","69329"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","13","42397"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","14","67508"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","15","61244"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","16","19275"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","17","62211"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","18","14354"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","8192","0.9","19","21885"," the sun is the sun. The sun is the sun is","","False","cat3"
"flat","16384","0.1","0","79872"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","1","79256"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","2","43258"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","3","34556"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","4","64913"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","5","96886"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","6","89730"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","7","31105"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","8","79421"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","9","96745"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","10","97302"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","11","70197"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","12","29865"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","13","14363"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","14","86129"," the sun and the sun is the sun is the sun is","","False","cat3"
"flat","16384","0.1","15","90860"," the sun and the sun is the sun is the sun is","","False","cat3"
